PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,YearBuiltAge,HasParking,HasGas,ppt_Distribution Center,ppt_Hospital,ppt_Hotel,ppt_K-12 School,ppt_Laboratory,ppt_Large Office,ppt_Low-Rise Multifamily,ppt_Medical Office,ppt_Mixed Use Property,ppt_Office,ppt_Other,ppt_Refrigerated Warehouse,ppt_Residence Hall,ppt_Restaurant,ppt_Retail Store,ppt_Self-Storage Facility,ppt_Senior Care Community,ppt_Small- and Mid-Sized Office,ppt_Supermarket / Grocery Store,ppt_University,ppt_Warehouse,ppt_Worship Facility,nbh_BALLARD,nbh_CENTRAL,nbh_DELRIDGE,nbh_DOWNTOWN,nbh_EAST,nbh_GREATER DUWAMISH,nbh_LAKE UNION,nbh_MAGNOLIA / QUEEN ANNE,nbh_NORTH,nbh_NORTHEAST,nbh_NORTHWEST,nbh_SOUTHEAST,nbh_SOUTHWEST,p_Bank Branch,p_College/University,p_Data Center,p_Distribution Center,p_Fitness Center/Health Club/Gym,p_Food Service,p_Hotel,p_K-12 School,p_Manufacturing/Industrial Plant,p_Medical Office,p_Multifamily Housing,p_Non-Refrigerated Warehouse,p_Office,p_Other,p_Other - Entertainment/Public Assembly,p_Other - Recreation,p_Other - Services,p_Parking,p_Pre-school/Daycare,p_Rare,p_Refrigerated Warehouse,p_Residence Hall/Dormitory,p_Restaurant,p_Retail Store,p_Self-Storage Facility,p_Senior Care Community,p_Social/Meeting Hall,p_Supermarket/Grocery Store,p_Worship Facility,ListOfAllPropertyUseTypes_Count,GFAByBuildings,GFAByFloors
K-12 School,98118,SOUTHEAST,1989,1,3,0,59955,1633399,1436416,196983,20,36,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,59955,19985
K-12 School,98119,MAGNOLIA / QUEEN ANNE,1964,1,2,0,93218,2887392,1486758,1400634,85,61,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,93218,46609
Other,98115,NORTHEAST,1941,1,4,0,56521,6357632,6357631,0,44,84,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,56521,14130
Other,98115,NORTHEAST,1929,1,2,0,206934,4253578,2001103,2252474,134,96,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,206934,103467
Hotel,98133,NORTHWEST,2001,1,4,0,51390,3611538,1398289,2213249,127,24,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,51390,12847
K-12 School,98133,NORTHWEST,1963,1,2,0,131013,3894584,1775488,2119097,125,62,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,131013,65506
Hotel,98133,NORTHWEST,2002,1,3,0,69138,3242458,1802889,1439568,89,23,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,69138,23046
Hotel,98104,DOWNTOWN,1904,1,5,0,190980,6505995,4402910,2103084,142,121,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,190980,38196
K-12 School,98107,BALLARD,1991,1,2,0,55513,1513571,1513571,0,11,34,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,55513,27756
Other,98104,DOWNTOWN,2006,1,4,0,61156,9363374,6947270,2416104,177,19,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,61156,15289
