BuildingType,PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ListOfAllPropertyUseTypes_list
NonResidential,Self-Storage Facility,98122,EAST,1910,1,5,0,84870,Self-Storage Facility,16,1381590,482635,898955,51,['Self-Storage Facility']
SPS-District K-12,K-12 School,98118,SOUTHEAST,1952,1,2,0,173185,K-12 School,35,6127772,1800727,4327044,242,['K-12 School']
SPS-District K-12,K-12 School,98106,DELRIDGE,1963,1,1,0,145341,K-12 School,40,5499097,1864967,3634130,206,['K-12 School']
NonResidential,Warehouse,98108,GREATER DUWAMISH,1904,1,4,0,114297,Non-Refrigerated Warehouse,18,2100098,912475,1187623,69,['Non-Refrigerated Warehouse']
SPS-District K-12,K-12 School,98118,SOUTHEAST,1960,1,2,0,184125,K-12 School,48,8800292,2999862,5800430,329,['K-12 School']
NonResidential,Warehouse,98134,GREATER DUWAMISH,1937,1,1,0,234144,Non-Refrigerated Warehouse,29,6744317,1316817,5427500,297,['Non-Refrigerated Warehouse']
NonResidential,Retail Store,98126,DELRIDGE,1966,1,1,0,64984,Retail Store,45,2944296,2613687,330609,36,['Retail Store']
NonResidential,Retail Store,98126,DELRIDGE,1965,1,1,0,67745,Retail Store,136,9230223,2624102,6606121,369,['Retail Store']
SPS-District K-12,K-12 School,98126,DELRIDGE,2010,1,2,0,367884,K-12 School,33,12265516,8205020,4060496,273,['K-12 School']
SPS-District K-12,K-12 School,98126,DELRIDGE,1958,1,1,0,46797,K-12 School,44,2075891,797204,1278687,73,['K-12 School']
NonResidential,Other,98117,BALLARD,1973,1,3,0,56000,Other,33,1851260,844864,1006396,59,['Other']
SPS-District K-12,K-12 School,98118,SOUTHEAST,2004,1,2,0,67371,K-12 School,32,2128459,1445339,683120,46,['K-12 School']
NonResidential,Self-Storage Facility,98126,SOUTHWEST,1969,1,2,0,52088,Self-Storage Facility,26,1377520,523765,853755,49,['Self-Storage Facility']
SPS-District K-12,K-12 School,98103,LAKE UNION,2010,1,3,0,127776,K-12 School,37,4748137,3729930,1018207,80,['K-12 School']
NonResidential,Hotel,98109,LAKE UNION,1998,1,5,30000,93920,"Hotel, Parking, Swimming Pool",76,9373179,4079217,5293961,310,"['Hotel', 'Parking', 'Swimming Pool']"
Nonresidential COS,Other,98109,LAKE UNION,1900,1,1,0,50000,Museum,176,7548807,3797924,3750882,226,['Museum']
Nonresidential COS,Warehouse,98109,MAGNOLIA / QUEEN ANNE,1926,1,2,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",8,430474,430474,0,3,"['Non-Refrigerated Warehouse', 'Office', 'Other - Services', 'Residence Hall/Dormitory']"
NonResidential,Hotel,98109,MAGNOLIA / QUEEN ANNE,1998,1,7,54341,153315,Hotel,79,11171988,5530787,5641200,338,['Hotel']
SPS-District K-12,K-12 School,98117,BALLARD,1999,1,2,0,67235,K-12 School,34,2284134,1564728,719406,49,['K-12 School']
Nonresidential COS,Small- and Mid-Sized Office,98103,NORTHWEST,1957,1,2,0,91130,"Data Center, Distribution Center, Office, Other, Parking",100,9472358,7093984,2378373,176,"['Data Center', 'Distribution Center', 'Office', 'Other', 'Parking']"
SPS-District K-12,K-12 School,98136,SOUTHWEST,1991,1,3,0,58118,K-12 School,24,1407277,1158457,248820,21,['K-12 School']
NonResidential,Hotel,98133,NORTHWEST,1968,1,4,0,64893,Hotel,96,6197825,2620548,3577277,208,['Hotel']
SPS-District K-12,K-12 School,98108,GREATER DUWAMISH,1925,1,1,0,70762,K-12 School,51,3606416,491106,3115310,169,['K-12 School']
NonResidential,Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,3,0,44558,"Office, Restaurant, Self-Storage Facility",38,1677002,1317637,359365,28,"['Office', 'Restaurant', 'Self-Storage Facility']"
Nonresidential COS,Distribution Center,98134,GREATER DUWAMISH,1924,1,2,0,179161,"Data Center, Distribution Center, Office, Other",52,9436408,8772104,664302,96,"['Data Center', 'Distribution Center', 'Office', 'Other']"
Nonresidential COS,Warehouse,98134,GREATER DUWAMISH,1965,1,2,0,58640,"Non-Refrigerated Warehouse, Office, Other, Other - Services",56,3928695,3928695,0,27,"['Non-Refrigerated Warehouse', 'Office', 'Other', 'Other - Services']"
NonResidential,Hotel,98134,GREATER DUWAMISH,2005,1,9,14567,153882,"Food Service, Hotel, Parking",88,12726789,6232233,6494555,388,"['Food Service', 'Hotel', 'Parking']"
NonResidential,Warehouse,98134,GREATER DUWAMISH,1916,1,4,0,79600,Non-Refrigerated Warehouse,30,2411402,2411402,0,17,['Non-Refrigerated Warehouse']
SPS-District K-12,K-12 School,98103,LAKE UNION,1997,1,4,0,241066,K-12 School,32,7791957,3096316,4695641,271,['K-12 School']
NonResidential,Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,2002,1,4,0,110785,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",95,10557910,10139555,418354,93,"['Financial Office', 'Multifamily Housing', 'Parking', 'Retail Store', 'Supermarket/Grocery Store']"
SPS-District K-12,K-12 School,98106,DELRIDGE,1999,1,1,0,71714,K-12 School,33,2371358,1944216,427142,36,['K-12 School']
NonResidential,Warehouse,98103,LAKE UNION,1991,1,3,8161,67236,"Non-Refrigerated Warehouse, Parking",8,549181,423381,125800,10,"['Non-Refrigerated Warehouse', 'Parking']"
NonResidential,Senior Care Community,98104,DOWNTOWN,1999,1,5,12611,90185,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",98,10105379,7428816,2676561,194,"['K-12 School', 'Medical Office', 'Office', 'Restaurant', 'Retail Store', 'Senior Care Community']"
SPS-District K-12,K-12 School,98116,SOUTHWEST,2002,1,2,0,208981,K-12 School,39,8164853,4894851,3270002,208,['K-12 School']
NonResidential,K-12 School,98105,NORTHEAST,1928,1,2,0,55653,K-12 School,25,1377627,6138,1371489,73,['K-12 School']
NonResidential,Hotel,98105,NORTHEAST,1931,1,16,0,106860,Hotel,112,11935719,3561742,8373976,470,['Hotel']
NonResidential,Small- and Mid-Sized Office,98125,NORTH,1972,1,5,0,50759,"Office, Restaurant",62,3147042,2558533,588509,49,"['Office', 'Restaurant']"
NonResidential,Worship Facility,98105,NORTHEAST,1952,1,2,0,56772,Worship Facility,43,2439485,975113,1464372,85,['Worship Facility']
NonResidential,Worship Facility,98105,NORTHEAST,1952,1,3,0,103000,Worship Facility,47,4854430,2338435,2515995,150,['Worship Facility']
SPS-District K-12,K-12 School,98115,NORTHEAST,2006,1,3,0,269297,K-12 School,39,10498344,7203965,3294379,225,['K-12 School']
SPS-District K-12,K-12 School,98115,NORTHEAST,2001,1,3,0,75174,K-12 School,36,2733846,1589543,1144302,72,['K-12 School']
