PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,z_SiteEnergyUse(kBtu),z_TotalGHGEmissions
K-12 School,98119,MAGNOLIA / QUEEN ANNE,2003,1,3,0,75214,K-12 School,31,2334260,1733685,600575,44,-0.21193010036379473,-0.2564522924266148
K-12 School,98116,SOUTHWEST,2005,1,3,0,134918,K-12 School,28,3822102,2895105,926998,69,0.40288229295875244,0.14468377644007946
K-12 School,98144,CENTRAL,1991,1,2,0,64414,K-12 School,35,2295176,2295176,0,16,-0.2280805569180649,-0.7057246895573124
K-12 School,98115,NORTHWEST,1927,1,3,0,92437,K-12 School,50,4626443,967866,3658577,201,0.735255498754429,2.2626822200562255
Other,98101,DOWNTOWN,1914,1,7,0,128766,"Office, Other, Other - Entertainment/Public Assembly",47,6057410,5732650,324760,57,1.3265657629058545,-0.04786153661593379
Residence Hall,98101,DOWNTOWN,1913,1,9,0,107572,"Office, Residence Hall/Dormitory, Retail Store",55,5572503,2496056,0,255,1.1261904319171767,3.129136128808285
K-12 School,98108,GREATER DUWAMISH,2007,1,3,0,204961,K-12 School,40,8190809,4528726,3662082,226,2.2081379628450475,2.66381828892292
Other,98119,MAGNOLIA / QUEEN ANNE,1973,1,1,0,76086,Other,42,3267564,1563366,1704198,101,0.1737337442766352,0.6581379445894482
Small- and Mid-Sized Office,98104,DOWNTOWN,1914,1,4,0,56500,"Office, Retail Store",34,1380294,887532,0,44,-0.6061319844404218,-0.2564522924266148
Warehouse,98134,GREATER DUWAMISH,2008,1,4,0,203504,"Non-Refrigerated Warehouse, Other - Services",19,3785282,3785282,0,26,0.38766737610458635,-0.5452702620106347
Small- and Mid-Sized Office,98121,DOWNTOWN,1981,1,4,18504,59158,"Office, Parking",81,5007401,4286102,721298,68,0.892676582266906,0.1286383336854117
Small- and Mid-Sized Office,98101,DOWNTOWN,1926,1,10,7757,55652,"Office, Retail Store",67,3444270,1357845,0,171,0.24675294844915757,1.7813189374161922
Large Office,98101,DOWNTOWN,1930,1,17,30000,174790,"Office, Other - Recreation, Parking, Retail Store",44,7739699,6736076,1003622,100,2.0217283718053176,0.6420925018347804
Small- and Mid-Sized Office,98101,DOWNTOWN,1916,1,5,0,73399,"Office, Retail Store",61,3757006,3757005,0,26,0.3759830472352653,-0.5452702620106347
Large Office,98121,DOWNTOWN,1968,1,12,0,206000,"Office, Parking",53,8580279,6267781,0,222,2.3690764111663967,2.5996365179042487
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,7,0,89550,"Office, Retail Store, Social/Meeting Hall",48,3903260,3554872,0,52,0.43641874657228885,-0.12808875038927264
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,6,0,89355,"Office, Retail Store",47,4178234,4116601,61632,32,0.5500446712615193,-0.44899760548262807
Small- and Mid-Sized Office,98104,DOWNTOWN,1950,1,6,1392,89699,"Office, Parking",20,1835805,1355021,0,47,-0.41790379348012713,-0.2083159641626115
Large Office,98101,DOWNTOWN,1968,1,8,62993,94948,"Office, Parking",44,3743228,3743228,0,26,0.3702896435303033,-0.5452702620106347
Large Office,98101,DOWNTOWN,1972,1,14,23775,162993,"Data Center, Office, Parking",53,9641043,7486064,0,219,2.807409818605089,2.551500189640245
Large Office,98104,DOWNTOWN,1907,1,8,0,201480,"Non-Refrigerated Warehouse, Office, Retail Store",44,8921778,7301810,0,176,2.5101920790311674,1.861546151189531
Large Office,98104,DOWNTOWN,1909,1,7,8296,106099,Office,28,2746561,1640689,1105871,70,-0.04155732920981499,0.16072921919474725
Retail Store,98105,NORTHEAST,1978,1,2,0,89200,Retail Store,72,6461937,5499125,962811,89,1.4937261287468444,0.4655926315334349
Small- and Mid-Sized Office,98105,NORTHEAST,1961,1,5,0,99005,Office,59,4728488,2863212,1865277,119,0.7774229672602241,0.946955914173468
Large Office,98105,NORTHEAST,2002,1,6,44248,90803,"Office, Parking",46,4426136,4426136,0,31,0.6524837890774206,-0.46504304823729586
Large Office,98105,NORTHEAST,2002,1,5,82720,137929,"Office, Parking",48,7046346,7046345,0,49,1.7352180989756971,-0.17622507865327597
