PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
K-12 School,98105,NORTHEAST,1928,1,2,0,54943,K-12 School,38,2155390,665637,1489754,84
Warehouse,98108,GREATER DUWAMISH,1960,1,1,0,44476,Non-Refrigerated Warehouse,33,1368120,931104,437016,30
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1969,1,1,0,35017,"Non-Refrigerated Warehouse, Office, Parking",43,1295485,904631,390854,27
Residence Hall,98177,NORTHEAST,1950,1,3,0,29084,Residence Hall/Dormitory,63,1632499,560665,1071834,61
Worship Facility,98144,SOUTHEAST,1963,1,2,0,22952,"Parking, Worship Facility",20,470667,123878,346789,19
Warehouse,98108,GREATER DUWAMISH,1976,1,1,0,21040,Non-Refrigerated Warehouse,28,592088,266815,325273,19
Warehouse,98108,GREATER DUWAMISH,1951,1,2,0,28032,Non-Refrigerated Warehouse,44,1321065,510536,810529,47
Distribution Center,98108,GREATER DUWAMISH,1974,1,1,0,25620,Distribution Center,22,550324,189949,360375,20
Warehouse,98144,DOWNTOWN,1992,1,3,0,33238,Non-Refrigerated Warehouse,49,1632472,1632472,0,11
K-12 School,98104,EAST,1912,1,4,0,27800,K-12 School,106,1181429,528460,652969,38
Supermarket / Grocery Store,98136,SOUTHWEST,1998,1,1,0,33706,Supermarket/Grocery Store,274,8687690,5528496,3159194,206
Mixed Use Property,98119,MAGNOLIA / QUEEN ANNE,1961,1,2,0,37600,"Non-Refrigerated Warehouse, Office, Other",58,2171752,472249,1699502,94
K-12 School,98177,NORTHWEST,1954,1,1,0,42128,K-12 School,41,1709308,893537,815770,50
K-12 School,98117,BALLARD,1932,1,2,0,44753,K-12 School,35,1638692,558868,1079824,61
Other,98122,EAST,1912,1,3,0,33708,Other,23,786324,567086,52750,20
Other,98155,NORTH,1948,1,2,0,47237,Other,126,5981430,5981430,0,42
K-12 School,98107,BALLARD,1989,1,2,0,57298,K-12 School,26,1586389,1586389,0,11
Worship Facility,98105,NORTHEAST,1938,1,3,0,26373,Worship Facility,37,964236,282478,681758,38
Mixed Use Property,98112,EAST,1947,1,2,0,21656,"Office, Other - Entertainment/Public Assembly, Other - Public Services, Restaurant, Urgent Care/Clinic/Other Outpatient",74,1607972,726238,881734,52
Distribution Center,98119,MAGNOLIA / QUEEN ANNE,1921,1,3,0,23040,Distribution Center,18,421430,421430,0,3
Other,98119,MAGNOLIA / QUEEN ANNE,1956,1,2,0,36771,Other,156,5447076,5447076,0,38
Warehouse,98108,GREATER DUWAMISH,1977,1,1,0,24024,"Non-Refrigerated Warehouse, Other - Services",16,375774,375773,0,3
Warehouse,98108,GREATER DUWAMISH,1953,1,1,0,42420,"Non-Refrigerated Warehouse, Office, Other",23,965425,474320,491105,29
Distribution Center,98108,GREATER DUWAMISH,1979,1,1,0,36982,"Distribution Center, Office",10,374754,282354,92400,7
Warehouse,98108,GREATER DUWAMISH,1964,1,2,0,23400,"Non-Refrigerated Warehouse, Office, Parking",19,439267,439267,0,3
Other,98109,MAGNOLIA / QUEEN ANNE,1948,1,2,0,30720,"Office, Other, Parking",58,1683064,482047,1201017,67
Warehouse,98108,GREATER DUWAMISH,1972,1,1,0,23232,Non-Refrigerated Warehouse,6,127374,127374,0,1
Warehouse,98108,GREATER DUWAMISH,1974,1,1,0,35046,Non-Refrigerated Warehouse,33,1063269,841364,221905,18
Refrigerated Warehouse,98108,GREATER DUWAMISH,1961,1,1,0,25577,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",35,895785,723667,172117,14
Warehouse,98108,GREATER DUWAMISH,1974,1,1,0,43380,Non-Refrigerated Warehouse,10,405062,405062,0,3
Small- and Mid-Sized Office,98020,LAKE UNION,1995,1,3,0,20410,Office,133,2720238,1444160,1276078,78
K-12 School,98125,NORTHWEST,1956,1,1,0,45174,K-12 School,44,1980825,786971,1193854,69
Worship Facility,98125,NORTHWEST,2002,1,1,0,24955,Worship Facility,28,689803,320006,369797,22
Worship Facility,98125,NORTH,1961,1,2,0,76475,"Other - Education, Worship Facility",23,1765814,573241,1192573,67
K-12 School,98125,NORTH,1988,1,2,0,32961,K-12 School,48,1573155,446659,1126496,63
K-12 School,98112,CENTRAL,1950,1,1,0,109794,K-12 School,30,3296526,1294767,2001759,115
Other,98122,CENTRAL,1911,1,3,0,25200,Other - Lodging/Residential,49,1242666,281188,961478,53
Other,98122,EAST,1907,1,2,0,22320,"Repair Services (Vehicle, Shoe, Locksmith, etc)",9,209645,137286,72359,5
Mixed Use Property,98122,EAST,1912,1,3,0,24000,"Office, Other, Retail Store",39,932084,876004,56079,9
Small- and Mid-Sized Office,98122,EAST,1920,1,3,0,23422,Office,115,2701872,334292,2367580,128
Warehouse,98112,EAST,1920,1,2,0,23040,Non-Refrigerated Warehouse,4,79712,72845,6867,1
Warehouse,98122,EAST,1958,1,2,0,61880,Non-Refrigerated Warehouse,10,595936,595937,0,4
Small- and Mid-Sized Office,98122,EAST,1925,1,2,0,27938,"Office, Retail Store",38,1027394,1024252,3142,7
Other,98105,NORTHEAST,1924,1,2,0,21600,"Other - Services, Retail Store",38,1623657,1623657,0,11
Other,98105,NORTHEAST,1929,1,3,0,27908,Other,93,2028126,964426,1063700,63
K-12 School,98112,CENTRAL,2000,1,2,0,30562,K-12 School,53,1622231,659450,962781,56
Retail Store,98104,DOWNTOWN,2000,1,3,0,54969,Retail Store,68,3724098,3434704,289394,39
K-12 School,98122,CENTRAL,1951,1,2,0,36825,"K-12 School, Office, Social/Meeting Hall, Worship Facility",27,1755073,911763,843310,51
Small- and Mid-Sized Office,98122,EAST,1958,1,3,0,25834,Office,65,2076290,1219253,857036,54
Worship Facility,98102,EAST,1929,1,1,0,37700,Worship Facility,67,3481728,751827,2729901,150
K-12 School,98112,EAST,1925,1,2,0,27273,K-12 School,46,1258619,436535,822084,47
Mixed Use Property,98122,CENTRAL,2004,1,6,0,97229,"Multifamily Housing, Parking, Retail Store",16,1021755,1021754,0,7
Small- and Mid-Sized Office,98103,NORTHWEST,1982,1,3,0,25111,"Non-Refrigerated Warehouse, Office, Parking",43,954353,557279,397074,25
Worship Facility,98199,MAGNOLIA / QUEEN ANNE,1953,1,2,0,31805,Worship Facility,52,1641667,407379,1234288,68
K-12 School,98199,MAGNOLIA / QUEEN ANNE,1953,1,1,0,20811,K-12 School,61,1267348,505796,761553,44
Warehouse,98134,GREATER DUWAMISH,1967,1,2,0,22058,"Non-Refrigerated Warehouse, Office",100,1987335,847726,1139608,66
Refrigerated Warehouse,98108,GREATER DUWAMISH,1970,1,1,0,22890,"Office, Refrigerated Warehouse",216,10005787,8922015,1083771,120
Other,98112,GREATER DUWAMISH,1907,1,5,0,36000,Other,31,1111294,346376,764918,43
Distribution Center,98108,GREATER DUWAMISH,1971,1,1,0,28320,"Distribution Center, Parking",150,4236396,3403624,832772,68
Worship Facility,98115,NORTHEAST,1955,1,1,0,29079,Worship Facility,30,861644,511118,350526,22
Small- and Mid-Sized Office,98107,BALLARD,1988,1,2,0,20535,"Distribution Center, Office",84,1835804,1274260,561544,39
Warehouse,98108,GREATER DUWAMISH,1965,1,1,0,30800,Non-Refrigerated Warehouse,16,485971,485971,0,3
Mixed Use Property,98104,EAST,1900,1,3,0,22168,"Multifamily Housing, Other - Entertainment/Public Assembly",80,1784385,982475,801910,49
Warehouse,98134,GREATER DUWAMISH,1922,1,1,0,37400,"Distribution Center, Non-Refrigerated Warehouse, Supermarket/Grocery Store",25,924193,894740,29453,8
K-12 School,98105,NORTHEAST,1924,1,3,0,97500,K-12 School,38,3736960,910698,2826262,156
Small- and Mid-Sized Office,98119,MAGNOLIA / QUEEN ANNE,1982,1,5,0,54015,Office,56,3020002,3020001,0,21
Other,98125,NORTH,1965,1,1,0,24697,"Library, Other - Services",65,1295686,859009,436677,29
Retail Store,98101,DOWNTOWN,1991,1,3,0,103000,Retail Store,51,5214622,4243144,971477,81
Supermarket / Grocery Store,98116,SOUTHWEST,2008,1,1,0,37864,Supermarket/Grocery Store,212,8025696,5407602,2618093,177
Supermarket / Grocery Store,98122,EAST,1950,1,2,0,66497,Supermarket/Grocery Store,140,9290214,9133009,157203,72
Retail Store,98109,MAGNOLIA / QUEEN ANNE,2006,1,4,0,34010,Retail Store,93,3560614,3560614,0,25
Supermarket / Grocery Store,98109,MAGNOLIA / QUEEN ANNE,2006,1,4,0,45980,Supermarket/Grocery Store,181,8305255,5369235,2936020,193
Retail Store,98122,EAST,1996,1,3,0,45743,Retail Store,117,5313217,4307444,1005772,83
Other,98122,CENTRAL,1991,1,1,0,45000,"Fitness Center/Health Club/Gym, Swimming Pool",78,3505497,1051644,2453853,138
Warehouse,98108,GREATER DUWAMISH,1904,1,4,0,72859,Non-Refrigerated Warehouse,21,1498458,1455485,42973,12
K-12 School,98118,SOUTHEAST,2009,1,2,0,138705,K-12 School,36,4959298,3004396,1954902,125
Mixed Use Property,98134,GREATER DUWAMISH,2004,1,3,0,21947,"Office, Other, Parking",58,1554599,969591,585008,38
Medical Office,98115,NORTHEAST,1960,1,0,0,30287,Medical Office,78,2193115,1815405,377710,33
Small- and Mid-Sized Office,98115,NORTHEAST,1960,1,0,0,21931,Office,124,3947209,1398591,2548619,145
Small- and Mid-Sized Office,98104,DOWNTOWN,1985,1,6,0,73102,"Office, Parking",46,4307238,4307238,0,30
Small- and Mid-Sized Office,98103,LAKE UNION,1993,1,1,0,26263,Office,62,1634669,1634669,0,11
Other,98122,CENTRAL,1968,1,1,0,21400,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",249,5170810,2514599,2656210,159
Supermarket / Grocery Store,98119,MAGNOLIA / QUEEN ANNE,2003,1,4,0,33997,"Parking, Supermarket/Grocery Store",263,8926736,8224625,702110,95
Mixed Use Property,98104,DOWNTOWN,1902,1,6,0,74211,"Multifamily Housing, Office, Parking",22,1357120,1357120,0,9
Warehouse,98178,SOUTHEAST,1988,1,2,0,45700,Non-Refrigerated Warehouse,5,1544194,1441594,102600,16
Residence Hall,98195,NORTHEAST,2012,1,5,0,136758,Residence Hall/Dormitory,30,6275368,3420620,2854748,175
Residence Hall,98195,NORTHEAST,2012,1,7,0,192259,"Residence Hall/Dormitory, Supermarket/Grocery Store",45,8767617,5931729,2835888,192
Retail Store,98109,MAGNOLIA / QUEEN ANNE,1918,1,3,0,43832,"Hotel, Parking, Retail Store",92,3886545,1343774,2542771,144
Worship Facility,98105,NORTHEAST,2008,1,2,0,70292,Worship Facility,28,1933812,977731,956080,58
K-12 School,98122,EAST,2014,1,2,0,35780,K-12 School,77,2912264,2234214,678050,52
Senior Care Community,98112,CENTRAL,2013,1,6,0,79805,"Parking, Senior Care Community",94,7531325,4663661,2867663,185
K-12 School,98125,NORTHWEST,2014,1,2,0,48925,K-12 School,26,1662054,1384383,246907,23
Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,1,0,29000,Other,83,2429214,1604709,824505,55
Other,98134,GREATER DUWAMISH,2014,1,2,0,56988,"Automobile Dealership, Parking",22,544172,276732,267440,16
Other,98146,DELRIDGE,2010,1,2,0,44162,"Parking, Pre-school/Daycare",35,1546485,953635,592850,38
Small- and Mid-Sized Office,98122,EAST,1912,1,2,0,64820,"Movie Theater, Office, Vocational School",38,2274297,1980767,293529,29
University,98122,EAST,1993,1,2,0,99765,College/University,32,3185005,2055974,1129031,74
Supermarket / Grocery Store,98107,BALLARD,2010,1,8,0,41198,Supermarket/Grocery Store,189,7768058,7151865,616192,83
Other,98124,GREATER DUWAMISH,2014,1,1,0,20993,"Repair Services (Vehicle, Shoe, Locksmith, etc)",44,923813,795829,98912,11
Other,98108,SOUTHEAST,2009,1,0,0,40265,Pre-school/Daycare,54,2159170,1371703,787467,51
University,98195,NORTHEAST,1969,1,4,0,58779,College/University,85,5000717,3719217,0,26
Residence Hall,98105,NORTHEAST,2011,1,0,0,176225,"Parking, Residence Hall/Dormitory",28,4926695,3424588,1502107,104
Residence Hall,98195,NORTHEAST,1970,1,0,0,89392,Residence Hall/Dormitory,78,6960904,6960904,0,49
Residence Hall,98195,NORTHEAST,2011,1,0,0,97040,Residence Hall/Dormitory,40,3894142,3129824,764318,62
Other,98105,NORTHEAST,2014,1,3,0,33648,"Automobile Dealership, Parking",36,1399582,1399582,0,10
Small- and Mid-Sized Office,98122,EAST,2015,1,5,0,37873,"Multifamily Housing, Office, Parking, Restaurant, Retail Store",62,2346692,1292155,1054537,65
Mixed Use Property,98199,MAGNOLIA / QUEEN ANNE,2014,1,2,0,25532,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)",27,627854,627854,0,4
Other,98134,GREATER DUWAMISH,2015,1,2,0,108036,"Automobile Dealership, Parking",46,4991894,3752536,1239357,92
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1929,1,2,0,24990,Office,177,4420650,2167029,2253621,135
Other,98155,NORTHEAST,2013,1,1,0,72000,Other - Recreation,41,2925780,1901620,1024160,68
K-12 School,98144,GREATER DUWAMISH,2015,1,3,0,45000,"K-12 School, Parking",29,1325973,1325973,0,9
University,98195,NORTHEAST,1962,1,1,0,68072,College/University,46,3180819,3180819,0,22
Mixed Use Property,0,NORTH,2005,1,1,0,20616,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Pre-school/Daycare, Social/Meeting Hall",31,636966,636965,0,4
Other,0,CENTRAL,2013,1,1,0,11685,Prison/Incarceration,73,851054,347289,503765,29
Other,0,BALLARD,2010,1,1,0,11968,Prison/Incarceration,66,783423,403243,380180,23
Other,0,NORTH,1949,1,1,0,11285,Prison/Incarceration,57,645665,431795,213870,14
Other,0,BALLARD,1911,1,1,0,16795,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",56,936616,542134,394482,25
Office,0,MAGNOLIA / QUEEN ANNE,1952,1,1,0,13661,Office,37,502668,502668,0,4
Mixed Use Property,0,CENTRAL,1994,1,1,0,20050,"Fitness Center/Health Club/Gym, Office, Other - Recreation, Other - Technology/Science",90,1813404,769453,1043951,61
Office,0,SOUTHEAST,1960,1,1,0,15398,Office,25,387810,277537,110273,8
Other,0,DELRIDGE,1982,1,1,0,18261,Other - Recreation,51,932082,632362,299720,20
Office,0,GREATER DUWAMISH,1990,1,1,0,12294,Office,69,849746,524271,325475,21
Other,0,DOWNTOWN,2004,1,1,0,16000,Other - Recreation,59,950276,396546,553730,32
Mixed Use Property,0,GREATER DUWAMISH,1989,1,1,0,14101,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",51,719471,348870,370601,22
Mixed Use Property,0,GREATER DUWAMISH,1938,1,1,0,18258,"Fitness Center/Health Club/Gym, Food Service, Office, Other - Recreation, Pre-school/Daycare",63,1152896,432554,720342,41
