PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions
Supermarket / Grocery Store,98133,NORTHWEST,1997,1,1,0,50083,"Parking, Supermarket/Grocery Store",173,8663691,6528390,2135300,159
Warehouse,98108,GREATER DUWAMISH,1967,1,2,0,90000,"Non-Refrigerated Warehouse, Office",16,1429146,1272922,156224,17
Retail Store,98108,GREATER DUWAMISH,1966,1,1,0,50200,Retail Store,21,1047461,507461,540000,32
Warehouse,98107,BALLARD,1941,1,2,0,63240,Non-Refrigerated Warehouse,4,227567,85409,142158,8
Warehouse,98119,MAGNOLIA / QUEEN ANNE,1997,1,4,0,106041,Non-Refrigerated Warehouse,11,1123943,739343,384600,26
Self-Storage Facility,98119,MAGNOLIA / QUEEN ANNE,1956,1,3,0,94470,Self-Storage Facility,11,1000797,432859,567938,33
Retail Store,98105,NORTHEAST,1987,1,2,0,69492,Retail Store,5,318963,318963,0,2
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,22780,Non-Refrigerated Warehouse,18,402051,402051,0,3
Distribution Center,98168,GREATER DUWAMISH,1967,1,1,0,50065,"Distribution Center, Parking",31,1529510,836261,693249,43
Distribution Center,98108,GREATER DUWAMISH,1969,1,1,0,57540,Distribution Center,45,2582687,1310981,1271706,77
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,85400,Non-Refrigerated Warehouse,18,1536998,1536998,0,11
Warehouse,98108,GREATER DUWAMISH,1966,1,1,0,55700,Non-Refrigerated Warehouse,9,519806,519806,0,4
Small- and Mid-Sized Office,98108,GREATER DUWAMISH,1964,1,1,0,53250,"Office, Parking",34,1794187,1048173,746014,47
Warehouse,98133,NORTHWEST,1986,1,3,0,64660,Non-Refrigerated Warehouse,5,325513,237813,87700,6
Distribution Center,98134,GREATER DUWAMISH,1968,1,1,0,161678,Distribution Center,58,9357230,6332002,3025227,205
Distribution Center,98134,GREATER DUWAMISH,1980,1,1,0,52613,Distribution Center,18,1061458,527872,533586,32
Other,98134,GREATER DUWAMISH,1940,1,1,0,56608,"Office, Other",90,5094197,4253264,840932,74
Small- and Mid-Sized Office,98144,CENTRAL,1914,1,2,0,62220,"Office, Other - Services, Parking",88,5444254,5431426,12827,39
Small- and Mid-Sized Office,98144,GREATER DUWAMISH,1970,1,1,0,65430,"Office, Other",46,3181046,1705793,1475252,90
Distribution Center,98108,GREATER DUWAMISH,1989,1,2,0,98024,"Distribution Center, Office",20,1988334,1373037,615298,42
Other,98125,NORTH,1969,1,2,0,98539,Strip Mall,55,5450442,5266334,184107,46
Small- and Mid-Sized Office,98144,NORTHWEST,1981,1,6,0,86483,"Office, Parking",74,6361236,6361236,0,44
Distribution Center,98106,DELRIDGE,1976,1,1,0,51600,"Distribution Center, Office",22,1124543,815508,309035,22
Warehouse,98106,DELRIDGE,1968,1,1,0,140520,Non-Refrigerated Warehouse,16,2225512,1310524,914988,58
Medical Office,98133,NORTHWEST,2005,1,3,0,63909,"Medical Office, Retail Store",75,4765754,4765753,0,33
Warehouse,98103,NORTHWEST,1948,1,2,0,53472,"Non-Refrigerated Warehouse, Office",17,971156,381025,590131,34
Warehouse,98108,GREATER DUWAMISH,1980,1,1,0,50417,Non-Refrigerated Warehouse,37,1847401,855017,992384,59
Retail Store,98125,NORTH,1965,1,2,0,168619,Retail Store,37,6455828,5456882,998946,91
Warehouse,98134,GREATER DUWAMISH,1969,1,2,0,104786,Non-Refrigerated Warehouse,10,1028377,666718,361659,24
Other,98134,GREATER DUWAMISH,1973,1,1,0,110689,Other,21,2339814,356328,1983486,108
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1948,1,1,0,53620,Office,38,2058955,1890584,168371,22
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1938,1,1,0,50008,Office,64,3202213,2270837,931375,65
Warehouse,98134,GREATER DUWAMISH,1957,1,1,0,50832,"Non-Refrigerated Warehouse, Office",50,2551022,613991,1937032,107
Refrigerated Warehouse,98108,GREATER DUWAMISH,1971,1,1,0,76354,Refrigerated Warehouse,37,2843034,2832924,10109,20
Warehouse,98134,GREATER DUWAMISH,1956,1,1,0,98480,Non-Refrigerated Warehouse,29,2831566,2403347,428218,40
Mixed Use Property,98103,LAKE UNION,1904,1,2,0,53002,"Multifamily Housing, Parking, Restaurant, Retail Store",64,3441643,2574531,867112,64
Small- and Mid-Sized Office,98109,LAKE UNION,1970,1,7,0,94002,"Office, Parking",60,5662234,5662234,0,39
Warehouse,98108,GREATER DUWAMISH,1974,1,1,0,93020,Non-Refrigerated Warehouse,14,1252324,1252324,0,9
Other,98121,DOWNTOWN,1946,1,1,0,23000,"Office, Other",31,711118,260639,450480,26
Small- and Mid-Sized Office,98104,DOWNTOWN,1904,1,5,0,78920,Office,36,2830675,2830674,0,20
Small- and Mid-Sized Office,98104,DOWNTOWN,1906,1,7,0,99440,"Office, Retail Store",74,6606832,4685851,1920981,135
Small- and Mid-Sized Office,98104,DOWNTOWN,1907,1,6,0,73260,Office,45,2853190,2853189,0,20
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,69817,"Office, Retail Store",36,2178074,1245123,161866,77
Small- and Mid-Sized Office,98104,DOWNTOWN,1900,1,4,0,84750,"Enclosed Mall, Office",30,2094725,1846842,247883,26
Large Office,98104,DOWNTOWN,1900,1,4,0,164380,"Office, Retail Store",53,7655751,6196714,1059498,130
Large Office,98104,DOWNTOWN,1907,1,7,0,160580,Office,27,4336188,3014081,974898,100
Small- and Mid-Sized Office,98104,DOWNTOWN,1909,1,6,0,73470,"Non-Refrigerated Warehouse, Office, Retail Store",49,3212269,3212269,0,22
Other,98104,DOWNTOWN,1906,1,3,0,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",29,1904480,1904480,0,13
Mixed Use Property,98134,GREATER DUWAMISH,1910,1,3,0,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",42,2371575,2045416,326159,32
Warehouse,98134,GREATER DUWAMISH,1922,1,1,0,82852,"Non-Refrigerated Warehouse, Retail Store",26,2153604,1058065,1095539,66
Other,98134,GREATER DUWAMISH,1953,1,2,0,76442,"Distribution Center, Office, Other",52,3978277,1705403,2272874,133
Distribution Center,98134,GREATER DUWAMISH,1962,1,2,0,92792,"Distribution Center, Office",32,3155496,2024573,1130923,74
Warehouse,98134,GREATER DUWAMISH,1954,1,1,0,78814,Non-Refrigerated Warehouse,11,861973,635127,226846,16
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1904,1,4,0,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",30,1776412,1152375,624037,41
Distribution Center,98134,GREATER DUWAMISH,1907,1,4,0,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",19,1056782,1056782,0,7
Small- and Mid-Sized Office,98104,DOWNTOWN,1904,1,4,0,66842,"Office, Retail Store",105,5608600,3457540,2151060,138
Large Office,98104,DOWNTOWN,1904,1,7,0,184322,"Data Center, Office",53,9722890,9722889,0,68
Small- and Mid-Sized Office,98134,GREATER DUWAMISH,1914,1,2,0,64512,Office,95,5968154,2952139,3016015,181
Warehouse,98134,GREATER DUWAMISH,1926,1,7,0,144050,Non-Refrigerated Warehouse,27,3929371,2389825,1539546,98
Small- and Mid-Sized Office,98104,GREATER DUWAMISH,1930,1,3,0,60592,Office,84,5049446,4788414,261032,47
Retail Store,98134,GREATER DUWAMISH,1993,1,1,0,107930,Retail Store,67,7221482,6136093,1085388,100
Warehouse,98134,GREATER DUWAMISH,1926,1,1,0,99084,Non-Refrigerated Warehouse,16,1618110,795088,823022,49
