PrimaryPropertyType,ZipCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,ElectricityByGFA,FloorsByBuildings
Residence Hall,98195,NORTHEAST,2012,1,5,0,136758,Residence Hall/Dormitory,30,6275368,3420620,2854748,175,25.012211351438307,5
Residence Hall,98195,NORTHEAST,2012,1,7,0,192259,"Residence Hall/Dormitory, Supermarket/Grocery Store",45,8767617,5931729,2835888,192,30.85280272965115,7
Other,98108,GREATER DUWAMISH,2012,2,2,0,137138,Other - Utility,40,5475367,5475366,0,38,39.92595779433855,4
Retail Store,98109,MAGNOLIA / QUEEN ANNE,1918,1,3,0,43832,"Hotel, Parking, Retail Store",92,3886545,1343774,2542771,144,30.657373608322686,3
Worship Facility,98105,NORTHEAST,2008,1,2,0,70292,Worship Facility,28,1933812,977731,956080,58,13.909562965913617,2
K-12 School,98122,EAST,2014,1,2,0,35780,K-12 School,77,2912264,2234214,678050,52,62.443096702068196,2
Large Office,98119,MAGNOLIA / QUEEN ANNE,2013,1,3,28217,76844,"Office, Parking",16,1363192,1363192,0,10,17.73973244495341,3
Small- and Mid-Sized Office,98144,DOWNTOWN,2013,1,3,14989,47673,Office,53,2502131,2444599,57532,20,51.27848048161433,3
Hotel,98107,BALLARD,2013,1,4,22948,39433,"Hotel, Parking, Swimming Pool",58,3497216,3497215,0,24,88.68752060456977,4
Senior Care Community,98112,CENTRAL,2013,1,6,0,79805,"Parking, Senior Care Community",94,7531325,4663661,2867663,185,58.43820562621389,6
K-12 School,98125,NORTHWEST,2014,1,2,0,48925,K-12 School,26,1662054,1384383,246907,23,28.29602452733776,2
Other,98109,MAGNOLIA / QUEEN ANNE,1962,1,1,0,29000,Other,83,2429214,1604709,824505,55,55.33479310344828,1
Large Office,98134,GREATER DUWAMISH,2014,1,7,146687,187027,"Office, Parking",24,4581493,4359095,222397,42,23.307303223598733,7
